-71.1413	0.956295	0.335124
-70.5533	0.958203	0.576971
-72.0769	0.953533	0.343347
-74.043	0.948066	0.273394
-72.4467	0.96555	0.5102
-72.7404	0.965959	0.432227
-71.5768	0.981807	0.591084
-74.2934	0.976618	0.516173
-75.6948	0.968016	0.293457
-73.4588	0.984629	0.324608
-79.1511	0.951626	0.273331
-77.5184	0.963718	0.284579
-76.7218	0.946797	0.301962
-75.5782	0.962621	0.564644
-72.4618	0.982501	0.258546
-73.1799	0.981617	0.334446
-77.4373	0.960452	0.551666
-74.5251	0.984253	0.546459
-77.7437	0.973927	0.368051
-77.4397	0.975512	0.261326
-72.9655	0.993622	0.699243
-73.7436	0.993917	0.537049
-76.8606	0.990223	0.310335
-81.8955	0.978547	0.395352
-74.701	0.996415	0.778683
-74.7619	0.995684	0.671377
-76.7195	0.993399	0.531692
-78.0901	0.990955	0.420495
-80.4543	0.984734	0.277008
-77.2421	0.993526	0.273654
-73.573	0.996317	0.525271
-76.3732	0.993605	0.545758
-75.1242	0.99541	0.774603
-73.5031	0.996921	0.707427
-72.2027	0.996971	0.664298
-73.7743	0.996833	0.485728
-69.1048	0.99875	0.792204
-71.7664	0.997766	0.712506
-73.0456	0.99736	0.599665
-76.1666	0.99465	0.489844
-77.1414	0.991825	0.368848
-71.7552	0.997836	0.784347
-72.797	0.996805	0.497349
-72.4073	0.996724	0.578405
-69.966	0.997528	0.659515
-70.009	0.99616	0.702861
-70.7416	0.995849	0.621007
-74.4723	0.994449	0.661514
-75.3825	0.993131	0.535951
-74.9664	0.993774	0.528335
-72.9776	0.996637	0.579744
-77.0672	0.991676	0.522791
-77.9732	0.990763	0.568428
-78.597	0.989882	0.517715
-78.1865	0.990981	0.424812
-75.8354	0.994118	0.460077
-75.8951	0.993858	0.323723
-77.4537	0.990412	0.399729
-77.8143	0.990717	0.426457
-78.2268	0.991225	0.447446
-74.7139	0.995386	0.508084
-72.8359	0.99727	0.577578
-82.5562	0.975865	0.567296
-80.3848	0.981409	0.594538
-74.948	0.994766	0.612486
-72.5851	0.996779	0.371036
-68.6547	0.998853	0.820695
-66.4345	0.985326	0.747183
-48.1042	0.899752	0.761393
-40.9335	0.905968	0.801966
-31.1138	0.976724	0.358532
-22.1648	0.983605	0.547184
-20.3145	0.977948	0.619319
-18.4436	0.980508	0.520293
-16.1437	0.991478	0.616804
-13.2874	0.994012	0.632476
-11.1498	0.994469	0.646818
-10.3108	0.993553	0.630479
-9.81114	0.990553	0.649006
-9.56894	0.994879	0.651332
-9.41848	0.997645	0.672703
-9.20194	0.998151	0.664882
-9.07585	0.998116	0.667596
-9.08249	0.998182	0.66214
-9.15546	0.99817	0.668054
-9.26434	0.998119	0.666286
-9.41104	0.998052	0.666574
-9.71447	0.997945	0.668185
-10.1624	0.997816	0.675421
-10.5737	0.99763	0.676807
-10.9861	0.997444	0.674915
-11.337	0.997371	0.674816
-11.6995	0.997374	0.674253
-12.2575	0.997314	0.677164
-13.0841	0.997308	0.675953
-14.1094	0.997277	0.673364
-15.4729	0.997214	0.678163
-17.3396	0.997121	0.675477
-19.9473	0.997294	0.675776
-23.1577	0.997631	0.677344
-26.1221	0.998142	0.695057
-27.6697	0.998532	0.674611
-28.4457	0.998296	0.648584
-30.2323	0.982203	0.59649
-33.5541	0.752549	0.460083
-36.6856	0.331635	0.253456
-37.8142	0.0509735	0.176642
-36.9376	-0.0435809	0.191425
-35.2221	0.0470915	0.208873
-36.0242	-0.0605488	0.217724
-34.9445	0.0909356	0.278693
-32.2874	0.174808	0.429057
-34.6685	-0.00471235	0.396793
-33.3045	0.078712	0.277066
-32.763	0.145093	0.375459
-34.5524	0.0728075	0.366812
-32.1273	0.16513	0.464183
-34.7465	0.1693	0.385601
-34.223	0.210893	0.481728
-37.5651	0.145523	0.525715
-41.5062	0.214218	0.478595
-43.8562	0.745333	0.406151
-31.6653	0.995565	0.474005
-25.1001	0.995138	0.52954
-21.3094	0.994341	0.639352
-18.2152	0.996231	0.6365
-15.5037	0.997197	0.62251
-14.1562	0.9978	0.652469
-13.1404	0.9981	0.627248
-12.6013	0.998368	0.648222
-11.8941	0.998483	0.634752
-11.4485	0.99846	0.642547
-11.2642	0.998507	0.642354
-11.2146	0.998491	0.645741
-11.2232	0.998396	0.642148
-11.324	0.998412	0.64988
-11.3606	0.998302	0.649781
-11.4923	0.998154	0.65802
-11.2879	0.997662	0.642028
-11.4441	0.997425	0.651403
-11.8065	0.997468	0.645984
-12.3146	0.9971	0.667884
-12.367	0.996422	0.665879
-12.1387	0.995842	0.660362
-11.9737	0.995481	0.668362
-11.7525	0.995801	0.668468
-11.5088	0.996063	0.672381
-11.2564	0.996343	0.665216
-11.1587	0.996378	0.671241
-11.1769	0.996211	0.66627
-11.2133	0.996737	0.659824
-11.5261	0.997236	0.65135
-11.8409	0.997572	0.646111
-12.4884	0.997888	0.649121
-13.2253	0.998156	0.641137
-13.9416	0.998315	0.648062
-14.3918	0.998237	0.650978
-14.1571	0.997134	0.652868
-13.5283	0.996534	0.6595
-12.6179	0.996954	0.652767
-11.9922	0.997869	0.655264
-11.8785	0.998647	0.631871
-12.7061	0.998587	0.608941
-15.3963	0.997047	0.583503
-21.0837	0.977982	0.553491
-29.1199	0.819308	0.578803
-32.6047	0.512077	0.43981
-34.3061	0.325901	0.301019
-34.8474	-0.0477372	0.245346
-37.4416	-0.246909	0.220931
-44.1241	-0.175064	0.169602
-49.8114	0.531773	0.26175
-53.2658	0.915028	0.514396
-55.9972	0.953422	0.632432
-57.0362	0.971441	0.533731
-60.8173	0.974382	0.618472
-62.3729	0.982734	0.533606
-63.7861	0.957156	0.393002
-54.5274	0.739763	0.388464
-47.6712	0.588276	0.44585
-46.3393	0.634704	0.301436
-35.4329	0.995593	0.443671
-28.9628	0.995066	0.577757
-23.1215	0.995234	0.582448
-19.3573	0.996982	0.656238
-16.4968	0.997872	0.634577
-15.0959	0.99817	0.656495
-14.0347	0.998438	0.64982
-13.5329	0.998726	0.633011
-13.9814	0.998628	0.625345
-15.8415	0.996676	0.587512
-20.5526	0.988495	0.58344
-28.192	0.917995	0.564206
-34.3957	0.536682	0.493753
-37.5274	0.382393	0.3722
-39.39	0.110729	0.226546
-39.5677	-0.109584	0.172175
-41.5817	-0.0730191	0.221984
-44.9935	0.162814	0.370824
-47.2586	0.516091	0.542677
-52.1301	0.835058	0.498756
-44.2223	0.993943	0.599229
-31.7317	0.998088	0.52677
-27.7166	0.997856	0.509969
-22.2977	0.998046	0.563641
-18.9911	0.998218	0.651553
-16.1895	0.998239	0.615526
-15.1661	0.998438	0.655327
-14.1079	0.998509	0.655495
-13.4245	0.998645	0.643393
-13.1535	0.998749	0.658713
-12.7696	0.998738	0.648904
-12.6018	0.998787	0.649126
-12.4506	0.998757	0.654966
-12.3096	0.998801	0.648232
-12.2339	0.998817	0.650181
-12.0752	0.998774	0.648208
-11.9737	0.998825	0.642228
-11.9997	0.998829	0.645236
-11.9211	0.998814	0.642356
-11.8904	0.998834	0.640767
-11.9488	0.998743	0.641978
-12.061	0.9987	0.63892
-12.3008	0.998759	0.643004
-12.6478	0.998782	0.653557
-12.921	0.998798	0.655065
-13.1018	0.998851	0.649331
-13.572	0.998822	0.647623
-14.4874	0.998889	0.638346
-15.9118	0.998896	0.633168
-18.1544	0.998858	0.62278
-21.1857	0.99892	0.632325
-24.235	0.998865	0.647643
-26.765	0.998772	0.66883
-28.0913	0.998823	0.669315
-28.3446	0.998746	0.679107
-27.2977	0.998832	0.672689
-23.6786	0.998872	0.619563
-20.2267	0.998851	0.618079
-17.9176	0.998865	0.62384
-16.2096	0.998705	0.630781
-14.7907	0.99856	0.639493
-13.8251	0.998549	0.636926
-13.2978	0.998528	0.640479
-13.2012	0.998605	0.622978
-13.5559	0.998682	0.621024
-13.9598	0.998601	0.616171
-14.4107	0.998376	0.602508
-15.2038	0.998287	0.608915
-15.7023	0.998285	0.616339
-15.6082	0.9982	0.614571
-15.4119	0.998362	0.606614
-15.2621	0.998611	0.605771
-15.1037	0.998609	0.600625
-15.1838	0.998684	0.605781
-15.3507	0.998772	0.604582
-15.6385	0.998788	0.613793
-15.8739	0.99885	0.614225
-16.8662	0.998896	0.596298
-20.0516	0.998877	0.595561
-25.1808	0.998784	0.577662
-32.2837	0.99882	0.593898
-40.2361	0.998433	0.645399
-45.5773	0.9984	0.555586
-51.0159	0.984936	0.598272
-46.8321	0.89255	0.389985
-35.8854	0.904073	0.64788
-40.1053	0.888659	0.577079
-35.8492	0.99391	0.512648
-28.0276	0.992208	0.483151
-21.964	0.993286	0.55853
-18.6995	0.996218	0.606955
-17.0032	0.996526	0.60952
-15.997	0.996905	0.616868
-15.1679	0.997471	0.624686
-14.6318	0.997761	0.616538
-14.2794	0.998003	0.615205
-14.1244	0.998367	0.629068
-13.9613	0.998487	0.615132
-14.0522	0.998542	0.618299
-14.2291	0.998665	0.617742
